SSC,Suburb,Population
10990,Goodooga,339
10991,Googong,1117
10992,Goolgowi,287
10993,Goolhi,248
10994,Gooloogong,295
10995,Goonellabah,12543
10996,Goonengerry,571
10997,Goonumbla,348
10998,Gordon (NSW),6598
10999,Gormans Hill,868
11000,Gorokan,7677
11001,Gosford,3380
11002,Goulburn,21070
11003,Grabben Gullen,476
11004,Grafton,10193
11005,Grahamstown,223
11006,Graman,195
11008,Granville (NSW),13980
11009,Grasmere,1711
11010,Grattai,378
11011,Gravesend,323
11012,Grawlin,285
11013,Grays Point,2801
11014,Great Mackerel Beach,299
11015,Green Pigeon,314
11016,Green Point (Gosford - NSW),6574
11017,Green Point (Great Lakes - NSW),588
11018,Green Valley (NSW),12361
11019,Greenacre,23227
11020,Greendale (Liverpool - NSW),354
11021,Greenethorpe,320
11022,Greenfield Park,4753
11023,Greenhill (NSW),683
11024,Greenleigh,718
11025,Greenridge,378
11026,Greenwell Point,1194
11027,Greenwich,5175
11029,Greigs Flat,323
11030,Grenfell,2577
11031,Gresford,305
11032,Greta (NSW),2479
11033,Greystanes,21689
11034,Griffith (NSW),16987
11035,Grong Grong,392
11036,Grose Vale,1141
11037,Grose Wold,629
11038,Guildford (NSW),19855
11039,Guildford West,4412
11040,Gulargambone,579
11041,Gulgong,2379
11042,Gulmarrad,1649
11043,Gum Flat,315
11044,Gumly Gumly,289
11045,Gumma,405
11046,Gundagai,1470
11047,Gundaroo,1040
11048,Gundary,316
11049,Gundy,186
11050,Gunnedah,9351
11051,Gunning,479
11052,Gurranang,261
11053,Guyra,1921
11054,Gwabegar,346
11055,Gwandalan,3026
11056,Gwynneville,2832
11057,Gymea,7174
11058,Gymea Bay,6857
11059,Haberfield,6651
11060,Halekulani,2427
11061,Halfway Creek,265
11062,Hallidays Point,363
11063,Hallsville,529
11064,Hamilton (NSW),4072
11065,Hamilton East,904
11066,Hamilton North,885
11067,Hamilton South,4039
11068,Hamilton Valley,389
11069,Hamlyn Terrace,5229
11070,Hammondville,3260
11071,Hannam Vale,423
11072,Hanwood,1488
11073,Harden,1875
11074,Hargraves,341
11075,Harolds Cross,417
11076,Harrington,2258
11077,Harrington Park,7620
11078,Harris Park,5082
11079,Hartley (NSW),297
11080,Harwood,355
11081,Hassall Grove,4397
11083,Hastings Point,582
11084,Hat Head,328
11085,Hawkesbury Heights,451
11086,Hawks Nest,1117
11087,Hay (NSW),2428
11088,Hay South,390
11089,Haymarket,5391
11090,Haywards Bay,691
11091,Hazelbrook,4532
11092,Heathcote (NSW),5984
11093,Heatherbrae,491
11094,Hebersham,5449
11095,Heckenberg,2982
11096,Heddon Greta,1708
11097,Helensburgh,5991
11098,Henley,457
11099,Henty (NSW),1135
11100,Hermidale,301
11101,Hermitage Flat,346
11102,Hernani,245
11103,Herons Creek,312
11104,Hexham (NSW),178
11105,Hickeys Creek,264
11106,High Range,474
11107,Highfields (NSW),1044
11108,Hill End (NSW),486
11109,Hill Top (Wingecarribee - NSW),2492
